City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Caravelas,BR,-17.7125,-39.2481,68.83,84,2,5.61,clear sky
167,Balaka,MW,-14.9793,34.9558,52.27,94,2,7.34,clear sky
168,Murgab,TM,37.4966,61.9714,82.27,36,0,11.5,clear sky
169,Kawalu,ID,-7.3817,108.2082,78.69,63,8,2.8,clear sky
170,Vavuniya,LK,8.7514,80.4971,81.52,73,100,9.22,overcast clouds
171,Asau,RO,46.4333,26.4,64.76,82,4,3.96,clear sky
172,Cap Malheureux,MU,-19.9842,57.6142,71.51,59,0,15.41,clear sky
173,Bani,DO,18.2833,-70.3333,77.49,86,18,3.44,few clouds
174,Sobolevo,RU,54.4299,31.8996,61.41,75,55,4.45,broken clouds
175,Yavoriv,UA,49.9386,23.3825,65.48,85,99,7.02,overcast clouds
176,Provideniya,RU,64.3833,-173.3,50.11,81,90,4.47,overcast clouds
177,Beidao,CN,34.5686,105.8933,69.75,83,100,4.03,light rain
178,Sorong,ID,-0.8833,131.25,83.55,66,100,7.85,overcast clouds
179,Maryville,US,35.7565,-83.9705,82.11,84,75,5.75,broken clouds
180,Vila,PT,42.0304,-8.1588,54.73,91,0,3.74,clear sky
181,Tabou,CI,4.423,-7.3528,76.08,75,39,7.34,scattered clouds
182,Gazli,UZ,40.1333,63.45,91.53,15,0,9.91,clear sky
183,Seminole,US,28.7086,-81.2081,83.37,87,1,5.75,clear sky
184,Toba Tek Singh,PK,30.9743,72.4827,97.75,42,91,10.09,overcast clouds
185,Touros,BR,-5.1989,-35.4608,74.3,89,0,9.78,clear sky
186,Pedasi,PA,7.5333,-80.0333,76.46,87,100,5.82,overcast clouds
187,Lagoa,PT,39.05,-27.9833,68.85,84,9,11.65,clear sky
188,Kollam,IN,8.8833,76.6,76.87,89,97,12.8,overcast clouds
189,Oistins,BB,13.0667,-59.5333,80.64,82,100,12.75,overcast clouds
190,Upernavik,GL,72.7868,-56.1549,42.71,74,99,3.83,overcast clouds
191,Mancora,PE,-4.1078,-81.0475,69.44,82,76,9.86,broken clouds
192,South Sioux City,US,42.4739,-96.4136,82.2,59,1,1.01,clear sky
193,Mount Isa,AU,-20.7333,139.5,71.37,21,68,13.8,broken clouds
194,Dikson,RU,73.5069,80.5464,44.71,72,37,7.67,scattered clouds
195,Port Elizabeth,ZA,-33.918,25.5701,54.1,37,99,10.71,overcast clouds
196,Kalat,PK,29.0225,66.5916,77.95,26,74,2.01,broken clouds
197,Iquitos,PE,-3.7481,-73.2472,75.24,94,75,2.3,broken clouds
198,Piotrkow Trybunalski,PL,51.4055,19.7032,68.11,10,28,7.09,scattered clouds
199,Plettenberg Bay,ZA,-34.0527,23.3716,61.23,40,86,10.33,overcast clouds
200,Kavaratti,IN,10.5669,72.642,81.55,79,100,20.24,overcast clouds
201,Saldanha,ZA,-33.0117,17.9442,62.91,41,100,20.89,overcast clouds
202,Cayeli,TR,41.0923,40.7292,72.63,83,55,3.36,broken clouds
203,Ribeira Grande,PT,38.5167,-28.7,70.23,84,5,15.23,clear sky
204,Deputatskiy,RU,69.3,139.9,57.31,53,100,5.17,overcast clouds
205,Cape Town,ZA,-33.9258,18.4232,57.61,15,0,6.91,clear sky
206,Faya,SA,18.3851,42.4509,63.12,70,91,4.38,overcast clouds
207,Pasighat,IN,28.0667,95.3333,79.47,96,100,1.95,overcast clouds
208,Brenham,US,30.1669,-96.3977,86.4,72,1,0.0,clear sky
209,Kupang,ID,-10.1667,123.5833,82.98,57,20,5.75,few clouds
210,Lewiston,US,44.1003,-70.2148,69.46,98,75,0.0,mist
211,Itarema,BR,-2.9248,-39.9167,77.72,82,6,16.22,clear sky
212,Asyut,EG,27.181,31.1837,78.91,54,0,9.35,clear sky
213,Caceres,ES,39.522,-6.3748,65.8,85,0,6.26,clear sky
214,Batagay,RU,67.6333,134.6333,69.33,45,85,2.55,overcast clouds
215,Urmary,RU,55.6789,47.944,57.18,77,41,5.44,scattered clouds
216,Frickenhausen,DE,48.5935,9.3601,62.19,89,0,2.3,clear sky
217,Kaitangata,NZ,-46.2817,169.8464,51.93,78,100,4.68,light rain
218,Bonga,ET,7.2833,36.2333,58.42,100,100,1.88,light rain
219,Wagar,SD,16.1525,36.2032,78.08,79,42,15.5,scattered clouds
220,Porto Novo,BJ,6.4965,2.6036,74.19,80,38,7.65,scattered clouds
221,Palmer,US,42.1584,-72.3287,73.27,84,75,1.01,broken clouds
222,Rio Gallegos,AR,-51.6226,-69.2181,34.48,82,38,21.81,scattered clouds
223,Mao,ES,39.8885,4.2658,70.36,83,0,5.75,clear sky
224,Samarai,PG,-10.6167,150.6667,79.68,74,94,16.2,overcast clouds
225,Monforte De Lemos,ES,42.5216,-7.5142,62.28,98,4,0.85,clear sky
226,Ostrovnoy,RU,68.0531,39.5131,45.52,83,88,19.26,overcast clouds
227,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,52,0,11.5,clear sky
228,Daru,PG,-9.0763,143.2092,77.81,78,100,13.53,overcast clouds
229,Emba,KZ,48.8264,58.1442,71.35,47,0,6.6,clear sky
230,Kahului,US,20.8947,-156.47,83.46,92,34,8.99,scattered clouds
231,Umm Kaddadah,SD,13.6017,26.6876,81.77,59,93,13.13,overcast clouds
232,Katsuura,JP,35.1333,140.3,84.31,64,57,20.58,broken clouds
233,Grootegast,NL,53.2125,6.2736,64.96,54,60,5.48,broken clouds
234,Seoul,KR,37.5683,126.9778,92.59,37,3,6.42,clear sky
235,Hambantota,LK,6.1241,81.1185,77.34,100,75,6.91,broken clouds
236,Tortosa,ES,40.8125,0.5216,77.18,76,72,2.95,broken clouds
237,Piet Retief,ZA,-27.0071,30.8132,33.91,95,0,3.4,clear sky
238,Tshikapa,CD,-6.4167,20.8,68.2,40,78,3.15,broken clouds
239,Boyuibe,BO,-20.4167,-63.2833,68.47,55,65,4.79,broken clouds
240,Buraydah,SA,26.326,43.975,88.83,20,25,6.11,scattered clouds
241,Dingle,PH,10.9995,122.6711,86.67,67,95,15.97,light rain
242,Waipawa,NZ,-41.4122,175.5153,53.46,83,98,13.91,light rain
243,Oum Hadjer,TD,13.2954,19.6966,75.45,80,100,7.05,overcast clouds
244,Port Lincoln,AU,-34.7333,135.8667,59.86,68,64,21.27,broken clouds
245,Kidal,ML,18.4411,1.4078,89.83,37,100,7.27,overcast clouds
246,Biak,ID,-0.9131,122.8766,80.56,73,63,6.55,broken clouds
247,Georgetown,MY,5.4112,100.3354,86.9,80,20,1.01,haze
248,Nantucket,US,41.2835,-70.0995,73.99,91,90,16.11,overcast clouds
249,Broome,US,42.2506,-75.833,71.46,78,0,1.01,clear sky
250,Noumea,NC,-22.2763,166.4572,78.78,67,98,11.34,overcast clouds
251,Yamada,JP,39.4667,141.95,77.56,66,51,9.22,broken clouds
252,Dunedin,NZ,-45.8742,170.5036,51.8,78,100,13.0,overcast clouds
253,Bad Kissingen,DE,50.2,10.0833,64.15,96,100,1.74,overcast clouds
254,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,59.43,88,82,2.84,broken clouds
255,Lhokseumawe,ID,5.1801,97.1507,82.54,77,91,4.5,overcast clouds
256,Verkhnyaya Inta,RU,65.9811,60.3094,44.42,94,100,6.67,overcast clouds
257,Alofi,NU,-19.0595,-169.9187,77.92,72,7,1.86,clear sky
258,Aklavik,CA,68.2191,-135.0107,50.99,80,100,12.86,overcast clouds
259,Lasa,IT,46.6166,10.7002,63.01,87,100,2.15,light rain
260,Berlevag,NO,70.8578,29.0864,45.25,82,100,16.89,overcast clouds
261,Hasaki,JP,35.7333,140.8333,82.29,65,99,20.47,overcast clouds
262,Rincon,US,32.296,-81.2354,81.86,86,20,5.75,few clouds
263,Naze,JP,28.3667,129.4833,76.87,90,100,17.16,overcast clouds
264,Arman,RU,59.7,150.1667,55.76,99,100,6.67,heavy intensity rain
265,Leningradskiy,RU,69.3833,178.4167,39.92,85,99,6.58,overcast clouds
266,Geraldton,AU,-28.7667,114.6,61.12,82,16,14.97,few clouds
267,Papetoai,PF,-17.4961,-149.8729,81.55,66,1,6.33,clear sky
268,Kutum,SD,14.2,24.6667,72.64,72,100,5.91,overcast clouds
269,Gorontalo,ID,0.5412,123.0595,85.93,66,58,9.04,broken clouds
270,Trat,TH,12.5,102.5,85.82,85,100,4.21,overcast clouds
271,Nea Kallikratia,GR,40.3167,23.0667,77.25,70,0,4.81,clear sky
272,Torbay,CA,47.6666,-52.7314,56.57,93,100,7.23,overcast clouds
273,Yamasaki,JP,35.0,134.55,89.82,49,0,3.29,clear sky
274,Ensley,US,30.5188,-87.2728,85.53,86,1,3.44,clear sky
275,Kurumkan,RU,54.3,110.3,73.29,51,35,2.93,scattered clouds
276,Dongsheng,CN,39.8161,109.9776,73.51,52,100,15.64,overcast clouds
277,Namibe,AO,-15.1961,12.1522,68.97,62,0,7.09,clear sky
278,Vetluzhskiy,RU,58.3902,45.4654,54.68,71,91,4.07,overcast clouds
279,Rozkishne,UA,48.5074,39.3004,66.06,62,58,4.94,broken clouds
280,Kaseda,JP,31.4167,130.3167,84.85,75,100,12.75,overcast clouds
281,Vanimo,PG,-2.6741,141.3028,83.46,63,58,4.09,broken clouds
282,Mehamn,NO,71.0357,27.8492,44.74,81,100,13.76,overcast clouds
283,Pyapon,MM,16.2833,95.6833,79.25,85,100,14.85,overcast clouds
284,Olafsvik,IS,64.8945,-23.7142,49.5,86,93,17.22,moderate rain
285,Bathsheba,BB,13.2167,-59.5167,80.8,83,100,11.77,overcast clouds
286,Macau,MO,22.2006,113.5461,90.72,74,20,4.61,few clouds
287,Lerwick,GB,60.1545,-1.1494,55.4,94,49,5.5,scattered clouds
288,Sidi Ali,DZ,36.0998,0.4206,73.98,49,16,9.66,few clouds
289,Praia Da Vitoria,PT,38.7333,-27.0667,69.76,86,41,11.54,scattered clouds
290,Gizo,SB,-8.103,156.8419,83.32,71,6,3.33,light rain
291,Fairbanks,US,64.8378,-147.7164,70.14,54,90,8.05,overcast clouds
292,Dalvik,IS,65.9702,-18.5286,51.46,72,18,8.08,few clouds
293,La Spezia,IT,44.1105,9.8434,77.07,83,95,1.01,overcast clouds
294,Bayan,CN,46.0833,127.4,83.46,66,100,14.29,overcast clouds
295,Bubaque,GW,11.2833,-15.8333,79.16,82,100,8.37,light rain
296,Mbanza-Ngungu,CD,-5.25,14.8667,64.65,83,45,4.16,scattered clouds
297,Kopavogur,IS,64.1123,-21.913,47.3,87,100,21.0,light rain
298,Rondonopolis,BR,-16.4708,-54.6356,71.31,40,5,2.71,clear sky
299,Svetlaya,RU,46.5389,138.3297,76.78,76,87,10.98,overcast clouds
300,Sitka,US,57.0531,-135.33,54.23,89,100,1.9,light rain
301,Aliwal North,ZA,-30.6937,26.7114,34.5,45,100,4.54,overcast clouds
