City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
343,Sergach,RU,57.33,broken clouds,55.5308,45.4661,"Medvezhiy Ugol, Gostinitsa"
344,Oppdal,NO,59.59,clear sky,62.5943,9.6912,Quality Hotel Skifer
346,Havoysund,NO,45.48,broken clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
352,Eureka,US,56.25,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
353,Coquimbo,CL,53.33,clear sky,-29.9533,-71.3436,Punto de encuentro
359,Narsaq,GL,46.62,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
370,Ketchikan,US,57.51,light rain,55.3422,-131.6461,Snows Cove Lodge
376,Burnie,AU,53.85,light rain,-41.0667,145.9167,Beachfront Voyager Motor Inn
377,Porirua,NZ,55.85,overcast clouds,-41.1333,174.85,Amethyst Court Motor lodge (Best Price on direct bookings)
384,Ancud,CL,38.73,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
392,Rawson,AR,43.16,clear sky,-43.3002,-65.1023,Hosteria Sampedro
394,Chepareria,KE,58.32,overcast clouds,1.3077,35.2039,Hamza Lodge
399,Poshekhonye,RU,58.44,broken clouds,58.4993,39.1353,Chudnoy Dvor
403,Hofn,IS,51.3,few clouds,64.2539,-15.2082,Hótel Höfn
406,Tazovskiy,RU,50.86,overcast clouds,67.4667,78.7,TazHostel
409,Viedma,AR,47.32,overcast clouds,-40.8135,-62.9967,Hotel Cristal
410,Nova Serrana,BR,56.5,clear sky,-19.8761,-44.9836,ALPHACENTER HOTEL - NOVA SERRANA - MG RESERVAS 03732261001
411,Khani,GE,58.57,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
415,Yar-Sale,RU,51.69,overcast clouds,66.8333,70.8333,Yalemd
420,Buenos Aires,AR,55.94,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
427,Rovaniemi,FI,58.41,clear sky,66.5,25.7167,Arctic City Hotel
435,Copiapo,CL,51.49,clear sky,-27.3667,-70.3333,San Francisco de La Selva
438,Starodub,RU,58.14,clear sky,52.5844,32.7633,Apartment Kvartal on Gagarina
439,Olavarria,AR,43.56,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
445,Beringovskiy,RU,50.09,overcast clouds,63.05,179.3167,Beringgorski
447,Lovozero,RU,44.56,overcast clouds,68.005,35.0117,Country house Lovozero
453,Anadyr,RU,55.9,scattered clouds,64.75,177.4833,"Гостиница ""Анадырь"""
455,Timra,SE,58.68,fog,62.487,17.3257,Bergefors park
457,Chapais,CA,53.38,broken clouds,49.7834,-74.8492,Hôtel Opémiska
461,Pitkyaranta,RU,58.42,overcast clouds,61.5734,31.4792,Pitkyaranta hotel
474,La Rioja,ES,58.78,overcast clouds,42.25,-2.5,Casa Concejos
477,Mount Gambier,AU,57.11,light rain,-37.8333,140.7667,The Commodore
478,Rocha,UY,57.06,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
490,Iqaluit,CA,49.69,overcast clouds,63.7506,-68.5145,Frobisher Inn
492,Kalabo,ZM,49.82,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
493,De Aar,ZA,37.56,few clouds,-30.6497,24.0123,Stoneburgh B&B
498,Nanortalik,GL,44.15,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
509,General Roca,AR,45.0,light rain,-39.0333,-67.5833,Hotel y Casino del Río General Roca
510,Varnavino,RU,56.19,overcast clouds,57.4035,45.0916,Sibles PG Inn
515,Karpogory,RU,46.65,overcast clouds,64.0019,44.4451,Hotel Pinezhskaya Sloboda
525,Rize,TR,53.8,few clouds,40.9044,40.8949,Zilkale Otel
526,Joensuu,FI,57.69,clear sky,62.6012,29.7632,Original Sokos Hotel Kimmel
538,Largs,GB,59.45,overcast clouds,55.7963,-4.8634,Willowbank
539,Kabwe,ZM,46.89,clear sky,-14.4469,28.4464,Tuskers
547,Ust-Nera,RU,52.23,overcast clouds,64.5667,143.2,Hotel Ust-Nera
548,Spassk-Ryazanskiy,RU,57.11,scattered clouds,54.4072,40.3806,U Bedy
